Feature ID	Taxon	Confidence
61f9644e95401dd49c38e2f68c413780	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea	0.9946467544572972
df585da0a863c92c88184c8fe483ac3c	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea	0.9943564969980129
91052925b0b7a0650247c50356e95cce	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea; s__uncultured_rumen	0.7021947077483044
e9b27e988979479bc2a4135ca5351ca3	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea	0.9892365573889667
e776156cf6b860ac7832f1d3cf3cf7ec	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea; s__uncultured_rumen	0.7970859781052552
338a8e4a18c948b222bfcdcca35568c7	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea	0.756099530377922
f6cbc7b57b33b2b0dbf1e7d3f3fb2635	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea	0.8336670274443748
a764bd1cae2e1c3afcfd2201ffd3dd3e	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea; s__uncultured_rumen	0.7391928703043799
e022a80e6711fa2f5a0805bef02182be	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea; s__uncultured_rumen	0.7094919142808246
36c22b35816a45d2d4830017f5211014	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae	0.9629754406065241
d4ee48ed09731c35a184953b88776073	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae	0.9645215186647721
616a862d2ff4b6ce8a66cea662730b73	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae	0.948284642211597
80270fcc657b115017338984359d84fa	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Flexilinea	0.7944756684800602
9121766de68a52457f2067d239e91f28	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae	0.9663606278638204
09eb9a0dec4be5d1bb03138d4768317c	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae	0.9219084662610375
f76340d5e99ad6275d52b407972735a4	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae	0.9513834114838466
